ts_utc,symbol,eta_min,predicted_funding_rate,avg_funding_3,avg_funding_10,consistency_ratio,quote_volume_usdt,spread_pct,est_slippage_pct,expected_funding_usdt,total_cost_usdt,expected_net_edge_usdt,expected_net_edge_pct,traded_recently,traded_source,score
2026-03-19T06:24:51.923181+00:00,HUMAUSDT,95,-0.00562655,1.0873333333333337e-05,-0.004044946,0.8,35323949.82971,5.871818208514137e-05,0.0002603927801014907,5.62655,1.469110962186632,4.157439037813368,0.004157439037813368,False,none,598.8143295891267
2026-03-19T06:24:51.923301+00:00,PIXELUSDT,95,-0.00226928,-0.0005282333333333334,-0.00135483,1.0,145937724.823515,0.00011058888581708599,0.00023339736411677144,2.2692799999999997,1.4939862499338576,0.7752937500661421,0.000775293750066142,False,none,310.1258670634748
2026-03-19T06:24:51.923364+00:00,KITEUSDT,95,-0.00197536,-0.00841621,-0.00542988,1.0,49290990.80138,5.4325682466289535e-05,0.0003091860587457306,1.9753599999999998,1.5135117412120203,0.4618482587879795,0.00046184825878797954,False,none,461.483724499005
2026-03-19T06:34:20.084598+00:00,HUMAUSDT,86,-0.00541738,1.0873333333333337e-05,-0.004044946,0.8,35245687.168151,5.876994505016016e-05,0.00028183734753101764,5.4173800000000005,1.490607292581178,3.926772707418823,0.0039267727074188226,False,none,575.7359571504383
2026-03-19T06:34:20.084712+00:00,ATHUSDT,86,-0.00225689,3.269e-05,-0.000688787,0.7,26351513.933876,0.0001505230676601389,0.0003426985255918635,2.2568900000000003,1.6432215932520025,0.6136684067479978,0.0006136684067479979,False,none,233.6368177648812
2026-03-19T06:34:20.084771+00:00,PIXELUSDT,86,-0.00212796,-0.0005282333333333334,-0.00135483,1.0,145850356.566534,0.00011148893472334022,0.000264508964187955,2.12796,1.5259978989112952,0.6019621010887046,0.0006019621010887046,False,none,292.779596927184
2026-03-19T06:34:20.084819+00:00,KITEUSDT,86,-0.0019331,-0.00841621,-0.00542988,1.0,49300239.48532,5.4349302970243766e-05,0.00024915250709001726,1.9331,1.453501810060261,0.479598189939739,0.00047959818993973904,False,none,463.26010491677187
2026-03-19T06:35:48.173403+00:00,HUMAUSDT,84,-0.00541738,1.0873333333333337e-05,-0.004044946,0.8,35218429.593195,5.884256671281886e-05,0.0003647869848439894,5.4173800000000005,1.5736295515568082,3.8437504484431924,0.0038437504484431922,False,none,567.4296426166319
2026-03-19T06:35:48.173508+00:00,PIXELUSDT,84,-0.00212796,-0.0005282333333333334,-0.00135483,1.0,145902602.990295,0.00011127802815345242,0.0003632606347618586,2.12796,1.624538662915311,0.503421337084689,0.0005034213370846889,False,none,282.93335749034645
2026-03-19T06:35:48.173567+00:00,ATHUSDT,84,-0.00224524,3.269e-05,-0.000688787,0.7,26360718.984702,0.0003005259203605407,0.0003068420192243748,2.24524,1.7573679395849156,0.48787206041508435,0.0004878720604150844,False,none,221.05856388921376
2026-03-19T06:35:48.173615+00:00,KITEUSDT,84,-0.00193194,-0.00841621,-0.00542988,1.0,49315000.60242,5.4269665970109597e-05,0.0002899940494243389,1.93194,1.4942637153944485,0.4376762846055515,0.00043767628460555154,False,none,459.0701285509181
2026-03-19T06:36:48.208979+00:00,HUMAUSDT,83,-0.00538774,1.0873333333333337e-05,-0.004044946,0.8,35206908.303248,5.882872018125129e-05,0.00033081176382773,5.38774,1.5396404840089815,3.8480995159910183,0.0038480995159910184,False,none,567.8628211779225
2026-03-19T06:36:48.209106+00:00,KITEUSDT,83,-0.00193194,-0.00841621,-0.00542988,1.0,49330737.19093,5.4181453688456644e-05,0.00022808966079832817,1.93194,1.4322711144867848,0.4996688855132152,0.0004996688855132152,False,none,465.271749129961
2026-03-19T06:36:48.209158+00:00,PIXELUSDT,83,-0.00210562,-0.0005282333333333334,-0.00135483,1.0,145851361.789949,0.00033357424806799697,0.00017733892486038907,2.10562,1.660913172928386,0.44470682707161413,0.0004447068270716141,False,none,277.0542203089871
